 # Conectividades nodais
          1           1           1           2          13          12
          2           1           2           3          14          13
          3           1           3           4          15          14
          4           1           4           5          16          15
          5           1           5           6          17          16
          6           1           6           7          18          17
          7           1           7           8          19          18
          8           1           8           9          20          19
          9           1           9          10          21          20
         10           1          10          11          22          21
