 # Conectividades nodais
          1           1           1           2           5           4
          2           1           2           3           6           5
          3           1           4           5           8           7
          4           1           5           6           9           8
          5           1           7           8          11          10
          6           1           8           9          12          11
          7           1          10          11          14          13
          8           1          11          12          15          14
          9           1          13          14          17          16
         10           1          14          15          18          17
