 # Conectividades nodais
          1           1           1           2           8
          2           1           2           3           9
          3           1           3           4          10
          4           1           4           5          11
          5           1           5           6          12
          6           1           1           8           7
          7           1           2           9           8
          8           1           3          10           9
          9           1           4          11          10
         10           1           5          12          11
         11           1           7           8          14
         12           1           8           9          15
         13           1           9          10          16
         14           1          10          11          17
         15           1          11          12          18
         16           1           7          14          13
         17           1           8          15          14
         18           1           9          16          15
         19           1          10          17          16
         20           1          11          18          17
