 # Conectividades nodais
          1           1           1           2           9           8
          2           1           2           3          10           9
          3           1           3           4          11          10
          4           1           4           5          12          11
          5           1           5           6          13          12
          6           1           6           7          14          13
          7           1           8           9          16          15
          8           1           9          10          17          16
          9           1          10          11          18          17
         10           1          11          12          19          18
         11           1          12          13          20          19
         12           1          13          14          21          20
