 # Conectividades nodais
          1           1           1           4           5           2
          2           1           4           7           8           5
          3           1           7          10          11           8
          4           1          10          13          14          11
          5           1          13          16          17          14
          6           1           2           5           6           3
          7           1           5           8           9           6
          8           1           8          11          12           9
          9           1          11          14          15          12
         10           1          14          17          18          15
